pig_id,flying,flyhour,kids6,kids18,age,educ,flywage,spouseage,spouseeduc,spousewage,faminc,taxrate,momeduc,dadeduc,exp,otherfaminc,logwage,expsq
1,1,1610,1,0,32,12,3.354,34,12,4.0288,16310,0.7215,12,7,14,10.91006,1.210154,196
2,1,1656,0,2,30,12,1.3889,30,9,8.4416,21800,0.6615,7,7,5,19.49998,0.3285121,25
3,1,1980,1,3,35,12,4.5455,40,12,3.5807,21040,0.6915,12,7,15,12.03991,1.514138,225
4,1,456,0,3,34,12,1.0965,53,10,3.5417,7300,0.7815,7,7,6,6.799996,0.0921233,36
5,1,1568,1,2,31,14,4.5918,32,12,10,27300,0.6215,12,14,7,20.10006,1.524272,49
6,1,2032,0,0,54,12,4.7421,57,11,6.7106,19495,0.6915,14,7,33,9.859054,1.55648,1089
7,1,1440,0,2,37,16,8.3333,37,12,3.4277,21152,0.6915,14,7,11,9.152048,2.12026,121
8,1,1020,0,0,54,12,7.8431,53,8,2.5485,18900,0.6915,3,3,35,10.90004,2.059634,1225
9,1,1458,0,2,48,12,2.1262,52,4,4.2206,20405,0.7515,7,7,24,17.305,0.7543364,576
10,1,1600,0,2,39,12,4.6875,43,12,5.7143,20425,0.6915,7,7,21,12.925,1.544899,441
11,1,1969,0,1,33,12,4.063,34,12,9.7959,32300,0.5815,12,3,15,24.29995,1.401922,225
12,1,1960,0,1,42,11,4.5918,47,14,8,28700,0.6215,14,7,14,19.70007,1.524272,196
13,1,240,1,2,30,12,2.0833,33,16,5.3004,15500,0.7215,16,16,0,15.00001,0.7339532,0
14,1,997,0,2,43,12,2.2668,46,12,4.3413,16860,0.7215,10,10,14,14.6,0.8183691,196
15,1,1848,0,1,43,10,3.6797,45,17,10.87,31431,0.5815,7,7,6,24.63091,1.302831,36
16,1,1224,0,3,35,11,1.3472,38,12,9.1499,19180,0.7215,16,10,9,17.53103,0.2980284,81
17,1,1400,0,2,43,12,3.2143,45,12,6.1224,18600,0.6915,10,7,20,14.09998,1.16761,400
18,1,640,0,5,39,12,5.175,40,12,6.1498,19151,0.7215,12,12,6,15.839,1.643839,36
19,1,2000,0,0,45,12,2,51,11,6.917,18100,0.6915,7,7,23,14.1,0.6931472,529
20,1,1324,0,4,35,12,7.5529,40,10,4.7103,20300,0.6915,12,7,9,10.29996,2.021932,81
21,1,2215,0,2,42,16,3.5052,48,16,3.131,30419,0.6215,10,16,5,22.65498,1.254248,25
22,1,1680,0,0,30,12,3.5714,35,12,4,14090,0.7215,12,10,11,8.090048,1.272958,121
23,1,1600,0,0,48,13,3.25,52,17,7.2227,22679,0.6615,7,3,18,17.479,1.178655,324
24,1,800,0,0,45,12,3.25,53,17,7.9652,12160,0.7215,7,7,15,9.56,1.178655,225
25,1,1955,1,1,31,12,2.1545,31,12,4.0884,12487,0.7515,12,7,4,8.274953,0.7675587,16
26,1,660,0,2,43,17,3.7879,43,17,14.181,29850,0.5815,16,14,21,27.34999,1.331812,441
27,1,525,0,0,59,12,4,53,16,6.5359,18100,0.6915,3,7,31,16,1.386294,961
