"ID"	"issue"	"regulatory"	"ref05"	"ref05yn"	"expression"	"yes"	"no"	"yes4"	"yes5"	"yes6"	"yesother"	"no4"	"no5"	"no6"	"noother"	"en"	"reg"	"en4"	"en5"	"en6"	"enother"	"reg4"	"reg5"	"reg6"	"regother"
1	"2-1-1"	0	1	1	0	23	7	6	9	1	7	3	0	1	3	0	0	0	0	0	0	0	0	0	0
2	"2-2"	0	1	1	0	20	3	6	7	1	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0
3	"2-3-1"	0	1	1	0	14	5	5	5	0	4	1	0	0	4	0	0	0	0	0	0	0	0	0	0
4	"2-3-2"	0	0	0	1	15	7	4	4	0	7	6	0	0	1	0	0	0	0	0	0	0	0	0	0
5	"3-1"	0	0	1	1	18	7	2	6	0	10	6	0	0	1	0	0	0	0	0	0	0	0	0	0
6	"3-2"	0	1	1	0	19	8	4	5	0	10	7	0	0	1	0	0	0	0	0	0	0	0	0	0
7	"3-3"	0	1	1	1	18	9	6	4	0	8	6	0	0	3	0	0	0	0	0	0	0	0	0	0
8	"3-4"	0	1	1	0	22	2	6	7	0	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0
9	"4-1-1"	0	1	1	0	31	8	6	11	0	14	8	0	0	0	0	0	0	0	0	0	0	0	0	0
10	"4-1-2"	0	1	1	0	28	3	7	9	0	12	2	0	0	1	0	0	0	0	0	0	0	0	0	0
13	"4-2-2"	0	1	1	0	22	13	4	7	1	10	9	0	0	4	0	0	0	0	0	0	0	0	0	0
14	"4-2-3"	0	0	0	0	19	12	8	2	0	9	5	3	1	3	0	0	0	0	0	0	0	0	0	0
15	"4-2-4-1"	0	1	1	0	17	2	6	4	0	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0
16	"4-2-4-3"	0	1	1	0	16	3	6	4	0	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0
17	"4-2-5-1"	0	1	1	0	24	12	3	9	2	10	9	0	0	3	0	0	0	0	0	0	0	0	0	0
18	"4-2-5-2"	0	1	1	0	20	4	7	4	0	9	3	0	0	1	0	0	0	0	0	0	0	0	0	0
19	"4-2-6-1-1"	0	1	1	0	24	6	7	6	1	10	5	0	0	1	0	0	0	0	0	0	0	0	0	0
20	"4-2-6-1-2"	0	1	1	0	24	1	8	5	2	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21	"4-2-6-1-3"	0	0	0	0	21	8	5	6	1	9	6	0	0	2	0	0	0	0	0	0	0	0	0	0
22	"4-2-6-2"	0	1	1	0	21	7	6	6	0	9	6	0	0	1	0	0	0	0	0	0	0	0	0	0
23	"4-3-1-1"	0	0	1	0	26	2	9	6	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0
24	"4-3-1-2-1"	0	1	1	0	23	3	6	7	0	10	2	0	0	1	0	0	0	0	0	0	0	0	0	0
26	"4-3-1-2-3"	0	1	1	0	24	1	6	7	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27	"4-3-1-2-4"	0	1	1	0	24	2	7	7	0	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0
28	"4-3-1-3"	0	1	1	0	17	3	5	3	1	8	2	0	0	1	0	0	0	0	0	0	0	0	0	0
29	"4-3-1-4"	0	0	1	0	21	1	9	3	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
30	"4-3-2-2-1f"	0	0	0	1	3	8	2	0	0	1	5	0	0	3	0	0	0	0	0	0	0	0	0	0
31	"4-3-2-2-2"	0	0	1	0	22	1	7	6	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
32	"4-3-2-2-3"	0	1	1	0	22	1	6	6	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
33	"4-3-2-2-4"	0	1	1	0	20	8	5	6	0	9	6	0	0	2	0	0	0	0	0	0	0	0	0	0
34	"4-3-3"	0	0	1	0	22	1	8	3	1	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0
35	"4-3-4-1"	0	1	1	0	27	2	9	6	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0
36	"4-3-4-2"	0	1	1	0	26	3	8	6	2	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0
37	"4-3-5"	0	1	1	1	16	19	0	7	3	6	13	0	1	5	0	0	0	0	0	0	0	0	0	0
38	"4-3-6-1"	0	0	1	0	19	2	8	2	0	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0
39	"4-3-6-1-f2"	0	0	0	0	6	2	1	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0
40	"4-3-6-2-2"	0	0	0	1	14	11	3	3	0	8	6	1	1	3	0	0	0	0	0	0	0	0	0	0
41	"4-3-6-3"	0	0	0	1	18	4	5	3	0	10	3	0	0	1	0	0	0	0	0	0	0	0	0	0
42	"4-3-7-1"	0	1	1	0	18	6	6	4	0	8	5	0	0	1	0	0	0	0	0	0	0	0	0	0
43	"4-3-7-2"	0	1	1	0	14	3	5	2	0	7	2	0	0	1	0	0	0	0	0	0	0	0	0	0
44	"4-3-7-3"	0	1	1	0	15	5	5	3	0	7	4	0	0	1	0	0	0	0	0	0	0	0	0	0
45	"4-3-7-4"	0	1	1	0	17	2	6	3	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
46	"4-3-7-5"	0	0	0	0	14	3	4	2	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0
47	"4-3-8-1"	0	1	1	0	21	3	7	2	1	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0
