"ID"	"issue"	"regulatory"	"expression"	"ref05"	"en"	"reg"	"en4"	"en5"	"en6"	"enother"	"reg4"	"reg5"	"reg6"	"regother"
1	"2-1-1"	0	0	1	23	7	6	9	1	7	3	0	1	3
2	"2-2"	0	0	1	20	3	6	7	1	6	0	0	0	3
3	"2-3-1"	0	0	1	14	5	5	5	0	4	1	0	0	4
4	"2-3-2"	0	1	0	15	7	4	4	0	7	6	0	0	1
6	"3-2"	0	0	1	19	8	4	5	0	10	7	0	0	1
7	"3-3"	0	1	1	18	9	6	4	0	8	6	0	0	3
8	"3-4"	0	0	1	22	2	6	7	0	9	1	0	0	1
10	"4-1-2"	0	0	1	28	3	7	9	0	12	2	0	0	1
11	"4-2-1-2"	0	0	1	20	0	5	6	0	9	0	0	0	0
13	"4-2-2"	0	0	1	22	13	4	7	1	10	9	0	0	4
15	"4-2-4-1"	0	0	1	17	2	6	4	0	7	1	0	0	1
16	"4-2-4-3"	0	0	1	16	3	6	4	0	6	2	0	0	1
17	"4-2-5-1"	0	0	1	24	12	3	9	2	10	9	0	0	3
18	"4-2-5-2"	0	0	1	20	4	7	4	0	9	3	0	0	1
19	"4-2-6-1-1"	0	0	1	24	6	7	6	1	10	5	0	0	1
20	"4-2-6-1-2"	0	0	1	24	1	8	5	2	9	1	0	0	0
21	"4-2-6-1-3"	0	0	0	21	8	5	6	1	9	6	0	0	2
22	"4-2-6-2"	0	0	1	21	7	6	6	0	9	6	0	0	1
24	"4-3-1-2-1"	0	0	1	23	3	6	7	0	10	2	0	0	1
25	"4-3-1-2-2"	0	0	1	26	0	6	9	0	11	0	0	0	0
26	"4-3-1-2-3"	0	0	1	24	1	6	7	0	11	1	0	0	0
27	"4-3-1-2-4"	0	0	1	24	2	7	7	0	10	1	0	0	1
28	"4-3-1-3"	0	0	1	17	3	5	3	1	8	2	0	0	1
32	"4-3-2-2-3"	0	0	1	22	1	6	6	0	10	1	0	0	0
33	"4-3-2-2-4"	0	0	1	20	8	5	6	0	9	6	0	0	2
35	"4-3-4-1"	0	0	1	27	2	9	6	2	10	2	0	0	0
36	"4-3-4-2"	0	0	1	26	3	8	6	2	19	3	0	0	0
37	"4-3-5"	0	1	1	16	19	0	7	3	6	13	0	1	5
40	"4-3-6-2-2"	0	1	0	14	11	3	3	0	8	6	1	1	3
41	"4-3-6-3"	0	1	0	18	4	5	3	0	10	3	0	0	1
42	"4-3-7-1"	0	0	1	18	6	6	4	0	8	5	0	0	1
43	"4-3-7-2"	0	0	1	14	3	5	2	0	7	2	0	0	1
44	"4-3-7-3"	0	0	1	15	5	5	3	0	7	4	0	0	1
45	"4-3-7-4"	0	0	1	17	2	6	3	0	8	2	0	0	0
46	"4-3-7-5"	0	0	0	14	3	4	2	0	8	3	0	0	0
47	"4-3-8-1"	0	0	1	21	3	7	2	1	11	3	0	0	0
48	"4-3-8-2"	0	0	1	21	2	7	2	1	11	2	0	0	0
52	"4-3-10-3-2"	0	0	1	12	8	3	3	0	6	6	0	0	2
55	"4-3-11-1"	0	0	1	23	9	7	5	2	9	4	1	2	2
57	"4-3-11-2-f2"	0	1	0	3	4	0	1	0	2	0	0	1	3
60	"4-3-12-3"	0	0	1	21	1	5	4	2	10	1	0	0	0
61	"4-3-12-4"	0	0	1	19	1	4	4	1	10	1	0	0	0
62	"4-3-13-1"	1	0	-1	1	18	0	1	0	0	7	2	0	9
64	"4-3-14"	1	1	-1	4	19	1	3	0	0	8	1	1	9
65	"4-4-1-1"	0	0	1	25	2	11	5	0	9	0	2	0	0
66	"4-4-1-2"	0	0	1	19	9	5	5	0	9	7	0	0	2
67	"4-4-1-4-1"	0	0	1	27	1	7	7	2	11	1	0	0	0
68	"4-4-1-4-2"	1	0	-1	3	19	2	1	0	0	7	1	1	10
69	"4-4-1-5"	0	0	1	19	2	7	3	0	9	2	0	0	0
71	"4-4-2-1"	0	1	1	22	5	6	5	1	10	5	0	0	0
72	"4-4-2-2-1"	0	0	1	14	21	2	7	0	5	10	1	1	9
73	"4-4-3"	0	1	1	20	8	6	4	1	9	3	1	0	4
74	"4-4-3-f4"	0	1	0	9	10	2	4	0	3	3	0	0	7
76	"4-4-4-2"	1	0	-1	6	19	2	3	0	1	9	2	0	8
77	"4-4-5"	0	0	1	21	14	2	10	1	8	9	0	0	5
79	"4-4-6-2"	0	0	0	14	16	2	7	0	5	11	0	0	5
80	"4-4-6-2-f2"	0	1	0	5	7	1	3	0	1	4	0	0	3
81	"4-4-6-3"	0	1	0	12	23	0	9	1	2	10	0	2	11
83	"4-4-7-1-1"	0	0	1	15	11	2	5	0	8	9	0	0	2
84	"4-4-7-1-2"	0	0	1	16	3	4	4	0	8	3	0	0	0
85	"4-4-7-1-3"	0	1	0	5	14	1	3	0	1	7	0	0	7
86	"4-4-7-2-1"	0	0	1	24	5	7	5	1	11	5	0	0	0
87	"4-4-7-2-3"	1	1	-1	11	8	4	1	0	6	4	2	0	2
88	"4-4-7-3-1"	0	1	0	8	15	1	3	1	3	10	0	0	5
89	"4-4-7-4-1"	0	0	1	22	6	4	6	1	11	6	0	0	0
90	"4-4-7-4-1-f1"	0	1	0	1	9	0	1	0	0	5	0	0	4
92	"4-4-7-4-5-1"	0	0	1	15	14	4	6	1	4	7	0	0	7
93	"4-4-8-1"	0	1	0	8	25	0	5	0	3	17	1	0	7
94	"4-4-8-2-1"	0	1	0	13	16	2	6	1	4	9	1	0	6
95	"4-4-8-2-2"	1	1	-1	1	29	0	1	0	0	17	1	0	11
97	"4-4-9-1"	1	1	-1	8	23	1	4	0	3	6	3	1	13
99	"4-4-10-1"	1	0	-1	5	21	1	3	0	1	10	2	0	9
100	"4-4-10-2"	1	0	-1	2	19	1	1	0	0	8	2	0	9
101	"4-4-11-1-1"	1	1	0	9	7	1	3	0	5	2	1	0	4
103	"4-4-11-1-3"	0	1	0	13	15	4	5	0	4	9	0	0	6
104	"4-4-11-2"	0	0	1	22	7	7	4	0	11	0	0	0	7
105	"4-4-11-5-1"	1	0	-1	2	25	1	0	0	1	11	4	0	10
106	"4-4-11-5-2"	0	1	1	23	4	8	5	0	10	3	0	0	1
107	"4-4-11-7"	0	0	1	13	4	3	3	0	7	2	1	0	1
108	"4-4-11-8"	1	1	-1	1	18	0	1	0	0	8	2	0	8
109	"4-4-12-1"	0	1	1	7	12	1	6	0	0	4	0	0	8
110	"4-4-12-2"	0	1	0	4	19	0	4	0	0	8	0	0	11
111	"4-5-1-1-1"	1	0	-1	1	18	1	0	0	0	4	4	1	9
113	"4-5-1-2"	0	0	1	20	2	6	4	2	8	1	0	0	1
115	"4-5-1-5"	1	1	0	7	12	1	4	0	2	4	1	0	7
117	"4-5-2-2"	0	1	1	18	3	4	5	0	9	3	0	0	0
120	"4-5-2-5"	0	1	1	13	8	4	4	0	5	3	0	0	5
121	"4-5-2-6"	1	1	0	7	10	0	3	1	3	4	0	0	6
122	"4-5-3-3"	0	0	1	16	1	3	4	1	8	1	0	0	0
123	"4-5-3-4-2"	1	0	-1	4	11	2	1	0	1	3	1	0	7
124	"4-5-4-1"	0	0	1	19	5	5	5	0	9	4	0	0	1
125	"4-5-5-1"	0	0	0	8	16	1	4	0	3	7	0	2	7
126	"4-6-1"	0	0	1	14	6	2	3	0	9	6	0	0	0
127	"4-6-2-1"	0	0	1	18	1	5	4	1	8	1	0	0	0
128	"4-6-2-2"	0	0	1	15	3	3	4	1	7	2	0	0	1
130	"4-6-3-2"	0	0	1	15	2	4	3	1	7	1	0	0	1
131	"4-6-3-3-2"	1	1	-1	1	15	0	0	1	0	6	2	0	7
132	"4-6-3-3-2-f"	1	1	-1	2	5	0	1	1	0	1	0	1	3
135	"4-6-4-1"	0	0	1	15	2	4	4	0	7	1	0	1	0
136	"4-6-6"	0	0	1	16	2	2	4	1	9	1	0	1	0
137	"4-6-7-2"	0	0	1	20	1	4	4	4	8	0	0	0	1
138	"4-6-9"	0	0	1	16	0	3	4	2	7	0	0	0	0
139	"4-6-10"	0	1	0	19	3	7	4	1	7	2	0	0	1
140	"4-7-1"	0	0	1	21	7	5	7	2	7	6	0	0	1
